target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
parler	24995	15566	6	5	0.67
source	24995	15566	6	5	0.67
nouvelle	24995	15566	6	5	0.67
étant	24995	15566	6	5	0.67
choix	24995	15566	6	5	0.67
conception	24995	15566	6	5	0.67
Mar	24995	15566	6	5	0.67
Quel	24995	15566	6	5	0.67
idéal	24995	15566	6	5	0.67
plénitude	24995	15566	6	5	0.67
côté	24995	15566	6	5	0.67
poser	24995	15566	6	5	0.67
suite	24995	15566	6	5	0.67
personnes	24995	15566	14	9	0.67
Oui	24995	15566	14	9	0.67
l'amour	24995	15566	14	9	0.67
chacun	24995	15566	13	8	0.65
cet	24995	15566	13	8	0.65
cherche	24995	15566	13	8	0.65
donne	24995	15566	12	8	0.64
idée	24995	15566	12	8	0.64
avant	24995	15566	12	8	0.64
maintenant	24995	15566	8	6	0.63
partout	24995	15566	8	6	0.63
Flux	24995	15566	8	6	0.63
Donc	24995	15566	8	6	0.63
saisir	24995	15566	8	6	0.63
dont	24995	15566	10	7	0.63
Quand	24995	15566	10	7	0.63
août	24995	15566	10	7	0.63
��il	24995	15566	10	7	0.63
��argent	24995	15566	3	3	0.62
fameux	24995	15566	3	3	0.62
folie	24995	15566	3	3	0.62
disent	24995	15566	3	3	0.62
Incapable	24995	15566	3	3	0.62
chercheurs	24995	15566	3	3	0.62
scrute	24995	15566	3	3	0.62
traque	24995	15566	3	3	0.62
secret	24995	15566	3	3	0.62
travers	24995	15566	3	3	0.62
Ben	24995	15566	3	3	0.62
considérer	24995	15566	3	3	0.62
peuvent	24995	15566	3	3	0.62
futur	24995	15566	3	3	0.62
connais	24995	15566	3	3	0.62
cher	24995	15566	3	3	0.62
membre	24995	15566	3	3	0.62
différent	24995	15566	3	3	0.62
Avr	24995	15566	3	3	0.62
modifier	24995	15566	3	3	0.62
utilisé	24995	15566	3	3	0.62
correspond	24995	15566	3	3	0.62
solution	24995	15566	3	3	0.62
portée	24995	15566	3	3	0.62
fortement	24995	15566	3	3	0.62
écrits	24995	15566	3	3	0.62
français	24995	15566	3	3	0.62
donnes	24995	15566	3	3	0.62
signifie	24995	15566	3	3	0.62
Y	24995	15566	3	3	0.62
n'arrive	24995	15566	3	3	0.62
post	24995	15566	3	3	0.62
fallait	24995	15566	3	3	0.62
réalise	24995	15566	3	3	0.62
accepter	24995	15566	3	3	0.62
similaires	24995	15566	3	3	0.62
semaine	24995	15566	3	3	0.62
pourrait	24995	15566	3	3	0.62
l'atteindre	24995	15566	3	3	0.62
Sauf	24995	15566	3	3	0.62
Au	24995	15566	3	3	0.62
Toutes	24995	15566	3	3	0.62
but	24995	15566	3	3	0.62
auront	24995	15566	3	3	0.62
juger	24995	15566	3	3	0.62
imaginant	24995	15566	3	3	0.62
relation	24995	15566	3	3	0.62
c'	24995	15566	3	3	0.62
contraire	24995	15566	3	3	0.62
Pourtant	24995	15566	3	3	0.62
faible	24995	15566	3	3	0.62
afin	24995	15566	3	3	0.62
humain	24995	15566	3	3	0.62
pouvais	24995	15566	3	3	0.62
compatible	24995	15566	3	3	0.62
permettrait	24995	15566	3	3	0.62
Notre	24995	15566	3	3	0.62
préalable	24995	15566	3	3	0.62
concerne	24995	15566	3	3	0.62
subjective	24995	15566	3	3	0.62
courir	24995	15566	3	3	0.62
mots	24995	15566	3	3	0.62
bref	24995	15566	3	3	0.62
amour	24995	15566	3	3	0.62
Votre	24995	15566	3	3	0.62
Varda	24995	15566	3	3	0.62
Économie	24995	15566	3	3	0.62
definition	24995	15566	3	3	0.62
formule	24995	15566	3	3	0.62
��ailleurs	24995	15566	3	3	0.62
ressemble	24995	15566	3	3	0.62
adulte	24995	15566	3	3	0.62
tremplin	24995	15566	3	3	0.62
rassurant	24995	15566	3	3	0.62
fier	24995	15566	3	3	0.62
tranche	24995	15566	3	3	0.62
��âge	24995	15566	3	3	0.62
button	24995	15566	3	3	0.62
quelconque	24995	15566	3	3	0.62
Tant	24995	15566	3	3	0.62
qu'au	24995	15566	3	3	0.62
��EST	24995	15566	3	3	0.62
QUOI	24995	15566	3	3	0.62
alternate	24995	15566	3	3	0.62
Eh	24995	15566	3	3	0.62
journaliers	24995	15566	3	3	0.62
douche	24995	15566	3	3	0.62
dehors	24995	15566	3	3	0.62
ouverture	24995	15566	3	3	0.62
ca	24995	15566	11	7	0.61
n'y	24995	15566	11	7	0.61
critères	24995	15566	10	6	0.61
petite	24995	15566	10	6	0.61
reste	24995	15566	10	6	0.61
félicité	24995	15566	10	6	0.61
partager	24995	15566	10	6	0.61
part	24995	15566	10	6	0.61
mal	24995	15566	9	6	0.58
mesurer	24995	15566	9	6	0.58
certains	24995	15566	9	6	0.58
final	24995	15566	9	6	0.58
rendre	24995	15566	9	6	0.58
sentir	24995	15566	9	6	0.58
chercher	24995	15566	9	6	0.58
rend	24995	15566	9	6	0.58
gène	24995	15566	9	6	0.58
loin	24995	15566	7	5	0.55
meme	24995	15566	7	5	0.55
Nous	24995	15566	7	5	0.55
Discussion	24995	15566	7	5	0.55
romantiques	24995	15566	7	5	0.55
homme	24995	15566	7	5	0.55
condition	24995	15566	7	5	0.55
matin	24995	15566	7	5	0.55
donner	24995	15566	7	5	0.55
quel	24995	15566	7	5	0.55
l'impression	24995	15566	8	5	0.55
mot	24995	15566	8	5	0.55
d'autres	24995	15566	8	5	0.55
croire	24995	15566	8	5	0.55
fond	24995	15566	8	5	0.55
voie	24995	15566	7	4	0.55
depuis	24995	15566	7	4	0.55
Tout	24995	15566	7	4	0.55
parfois	24995	15566	7	4	0.55
elles	24995	15566	7	4	0.55
m	24995	15566	7	4	0.55
ni	24995	15566	7	4	0.55
sûr	24995	15566	7	4	0.55
déc	24995	15566	7	4	0.55
NOS	24995	15566	7	4	0.55
trois	24995	15566	7	4	0.55
��hui	24995	15566	7	4	0.55
beauté	24995	15566	7	4	0.55
journée	24995	15566	7	4	0.55
phrase	24995	15566	5	4	0.55
vis	24995	15566	5	4	0.55
passer	24995	15566	5	4	0.55
nuit	24995	15566	5	4	0.55
L	24995	15566	5	4	0.55
définit	24995	15566	5	4	0.55
durable	24995	15566	5	4	0.55
moyen	24995	15566	5	4	0.55
arriver	24995	15566	5	4	0.55
procure	24995	15566	5	4	0.55
l'article	24995	15566	5	4	0.55
