target	frequency
regex=[Ff][Ee][Ll][Ii][Cc][Ii][Dd][Aa][Dd]	428
felicidad	428

token	corpus size	all contexts size	frequency	co-frequency	specificity
efectivamente	9800	6267	2	2	0.39
quedo	9800	6267	2	2	0.39
kant	9800	6267	2	2	0.39
palabras	9800	6267	2	2	0.39
preguntarse	9800	6267	2	2	0.39
diría	9800	6267	2	2	0.39
programa	9800	6267	2	2	0.39
fuera	9800	6267	2	2	0.39
pocos	9800	6267	2	2	0.39
serie	9800	6267	2	2	0.39
pertenecer	9800	6267	2	2	0.39
origen	9800	6267	2	2	0.39
señalas	9800	6267	2	2	0.39
debido	9800	6267	2	2	0.39
recuerdan	9800	6267	2	2	0.39
imposible	9800	6267	2	2	0.39
colectivo	9800	6267	2	2	0.39
privado	9800	6267	2	2	0.39
espero	9800	6267	2	2	0.39
conclusión	9800	6267	2	2	0.39
sentidos	9800	6267	2	2	0.39
inherentemente	9800	6267	2	2	0.39
rato	9800	6267	2	2	0.39
sabríamos	9800	6267	2	2	0.39
depresiones	9800	6267	2	2	0.39
damos	9800	6267	2	2	0.39
similar	9800	6267	2	2	0.39
físico	9800	6267	2	2	0.39
cero	9800	6267	2	2	0.39
proporcionó	9800	6267	2	2	0.39
tras	9800	6267	2	2	0.39
comer	9800	6267	2	2	0.39
gafas	9800	6267	2	2	0.39
cutler	9800	6267	2	2	0.39
intento	9800	6267	3	2	0.35
haber	9800	6267	3	2	0.35
importantes	9800	6267	3	2	0.35
picos	9800	6267	3	2	0.35
condición	9800	6267	3	2	0.35
circunstancias	9800	6267	3	2	0.35
media	9800	6267	3	2	0.35
va	9800	6267	3	2	0.35
base	9800	6267	3	2	0.35
estoy	9800	6267	3	2	0.35
importancia	9800	6267	3	2	0.35
será	9800	6267	3	2	0.35
debate	9800	6267	3	2	0.35
medio	9800	6267	3	2	0.35
contribuye	9800	6267	3	2	0.35
tranquilidad	9800	6267	3	2	0.35
compra	9800	6267	3	2	0.35
obstáculo	9800	6267	3	2	0.35
económicas	9800	6267	3	2	0.35
español	9800	6267	3	2	0.35
amistad	9800	6267	3	2	0.35
sabes	9800	6267	3	2	0.35
mas	9800	6267	3	2	0.35
evita	9800	6267	3	2	0.35
artículo	9800	6267	3	2	0.35
suerte	9800	6267	3	2	0.35
sentimiento	9800	6267	3	2	0.35
síndrome	9800	6267	3	2	0.35
trata	9800	6267	3	2	0.35
cumplir	9800	6267	3	2	0.35
televisión	9800	6267	3	2	0.35
participante	9800	6267	3	2	0.35
resulta	9800	6267	3	2	0.35
debería	9800	6267	3	2	0.35
santidad	9800	6267	3	2	0.35
preguntas	9800	6267	3	2	0.35
filósofo	9800	6267	3	2	0.35
video	9800	6267	3	2	0.35
resistencia	9800	6267	3	2	0.35
sumido	9800	6267	3	2	0.35
fuéramos	9800	6267	3	2	0.35
distinguir	9800	6267	3	2	0.35
c	9800	6267	3	2	0.35
genera	9800	6267	3	2	0.35
naturaleza	9800	6267	2	1	0.34
estos	9800	6267	2	1	0.34
seré	9800	6267	2	1	0.34
dice	9800	6267	2	1	0.34
mal	9800	6267	2	1	0.34
metas	9800	6267	2	1	0.34
mecanismo	9800	6267	2	1	0.34
motivo	9800	6267	2	1	0.34
nietzsche	9800	6267	2	1	0.34
precisamente	9800	6267	2	1	0.34
dices	9800	6267	2	1	0.34
defensa	9800	6267	2	1	0.34
constitución	9800	6267	2	1	0.34
morales	9800	6267	2	1	0.34
resto	9800	6267	2	1	0.34
especialmente	9800	6267	2	1	0.34
estable	9800	6267	2	1	0.34
uso	9800	6267	2	1	0.34
versión	9800	6267	2	1	0.34
sesión	9800	6267	2	1	0.34
plena	9800	6267	2	1	0.34
raj	9800	6267	2	1	0.34
curso	9800	6267	2	1	0.34
cáncer	9800	6267	2	1	0.34
pm	9800	6267	2	1	0.34
responder	9800	6267	2	1	0.34
citando	9800	6267	2	1	0.34
eres	9800	6267	2	1	0.34
crees	9800	6267	2	1	0.34
necesitas	9800	6267	2	1	0.34
título	9800	6267	2	1	0.34
escribe	9800	6267	2	1	0.34
niveles	9800	6267	2	1	0.34
literalmente	9800	6267	2	1	0.34
blogs	9800	6267	2	1	0.34
comenzar	9800	6267	2	1	0.34
votos	9800	6267	2	1	0.34
Últimos	9800	6267	2	1	0.34
puffinba	9800	6267	2	1	0.34
mensajes	9800	6267	2	1	0.34
cuanto	9800	6267	2	1	0.34
conlleva	9800	6267	2	1	0.34
apreciar	9800	6267	2	1	0.34
porqué	9800	6267	2	1	0.34
infelices	9800	6267	2	1	0.34
dosis	9800	6267	2	1	0.34
compartirlo	9800	6267	2	1	0.34
ke	9800	6267	2	1	0.34
fiestas	9800	6267	2	1	0.34
contento	9800	6267	2	1	0.34
saro	9800	6267	2	1	0.34
mis	9800	6267	2	1	0.34
ruiz	9800	6267	2	1	0.34
según	9800	6267	2	1	0.34
positiva	9800	6267	2	1	0.34
actuar	9800	6267	2	1	0.34
cierta	9800	6267	2	1	0.34
haga	9800	6267	2	1	0.34
modelos	9800	6267	2	1	0.34
fin	9800	6267	2	1	0.34
educación	9800	6267	2	1	0.34
dejo	9800	6267	2	1	0.34
contradicción	9800	6267	2	1	0.34
parte	9800	6267	2	1	0.34
contrario	9800	6267	2	1	0.34
budismo	9800	6267	2	1	0.34
propones	9800	6267	2	1	0.34
establecer	9800	6267	2	1	0.34
problemática	9800	6267	2	1	0.34
entendida	9800	6267	2	1	0.34
explicación	9800	6267	2	1	0.34
griegos	9800	6267	2	1	0.34
dado	9800	6267	2	1	0.34
efímera	9800	6267	2	1	0.34
excelencia	9800	6267	2	1	0.34
dolor	9800	6267	2	1	0.34
narrador	9800	6267	2	1	0.34
cualquier	9800	6267	2	1	0.34
fuese	9800	6267	2	1	0.34
emancipación	9800	6267	2	1	0.34
sistema	9800	6267	2	1	0.34
amor	9800	6267	2	1	0.34
concuerdo	9800	6267	2	1	0.34
piedra	9800	6267	2	1	0.34
situaciones	9800	6267	2	1	0.34
llama	9800	6267	2	1	0.34
día	9800	6267	2	1	0.34
significa	9800	6267	2	1	0.34
medida	9800	6267	2	1	0.34
tenerlo	9800	6267	2	1	0.34
equilibrio	9800	6267	2	1	0.34
matemático	9800	6267	2	1	0.34
definitiva	9800	6267	2	1	0.34
contexto	9800	6267	2	1	0.34
soledad	9800	6267	2	1	0.34
aquellos	9800	6267	2	1	0.34
elementos	9800	6267	2	1	0.34
saludo	9800	6267	2	1	0.34
shur	9800	6267	2	1	0.34
etiquetas	9800	6267	2	1	0.34
marcos	9800	6267	2	1	0.34
howard	9800	6267	2	1	0.34
voluntad	9800	6267	2	1	0.34
nombre	9800	6267	1	1	0.19
autor	9800	6267	1	1	0.19
lucio	9800	6267	1	1	0.19
anneo	9800	6267	1	1	0.19
virtud	9800	6267	1	1	0.19
aplicado	9800	6267	1	1	0.19
supremacía	9800	6267	1	1	0.19
sillita	9800	6267	1	1	0.19
dejados	9800	6267	1	1	0.19
matadero	9800	6267	1	1	0.19
prisioneros	9800	6267	1	1	0.19
bautizados	9800	6267	1	1	0.19
sobrevivido	9800	6267	1	1	0.19
altos	9800	6267	1	1	0.19
habrá	9800	6267	1	1	0.19
atenderlas	9800	6267	1	1	0.19
prometen	9800	6267	1	1	0.19
populares	9800	6267	1	1	0.19
evasivo	9800	6267	1	1	0.19
aspectos	9800	6267	1	1	0.19
conflictivos	9800	6267	1	1	0.19
evitarlo	9800	6267	1	1	0.19
sutil	9800	6267	1	1	0.19
momentáneo	9800	6267	1	1	0.19
sencillamente	9800	6267	1	1	0.19
tb	9800	6267	1	1	0.19
obtendremos	9800	6267	1	1	0.19
negamos	9800	6267	1	1	0.19
pillar	9800	6267	1	1	0.19
sorpresa	9800	6267	1	1	0.19
exista	9800	6267	1	1	0.19
haría	9800	6267	1	1	0.19
propensas	9800	6267	1	1	0.19
transcender	9800	6267	1	1	0.19
elevadas	9800	6267	1	1	0.19
alexandre	9800	6267	1	1	0.19
xavier	9800	6267	1	1	0.19
escribió básicamente	9800	6267	1	1	0.19
población	9800	6267	1	1	0.19
desarrollan	9800	6267	1	1	0.19
matemáticamente	9800	6267	1	1	0.19
evolutivo	9800	6267	1	1	0.19
incentiva	9800	6267	1	1	0.19
óptima	9800	6267	1	1	0.19
fluctuaciones	9800	6267	1	1	0.19
incentivo	9800	6267	1	1	0.19
óptimo	9800	6267	1	1	0.19
haces	9800	6267	1	1	0.19
biosocial	9800	6267	1	1	0.19
fluctuar	9800	6267	1	1	0.19
inevitables	9800	6267	1	1	0.19
todas	9800	6267	1	1	0.19
acciones	9800	6267	1	1	0.19
reportan	9800	6267	1	1	0.19
concreto	9800	6267	1	1	0.19
universitaria	9800	6267	1	1	0.19
despreciado	9800	6267	1	1	0.19
tradicionalmente	9800	6267	1	1	0.19
considerándolo	9800	6267	1	1	0.19
severo	9800	6267	1	1	0.19
profesor	9800	6267	1	1	0.19
iba	9800	6267	1	1	0.19
pronunciación	9800	6267	1	1	0.19
niche	9800	6267	1	1	0.19
decía	9800	6267	1	1	0.19
inglés	9800	6267	1	1	0.19
loco	9800	6267	1	1	0.19
filosóficamente	9800	6267	1	1	0.19
teórica	9800	6267	1	1	0.19
prácticamente	9800	6267	1	1	0.19
lógica	9800	6267	1	1	0.19
implicado	9800	6267	1	1	0.19
laura	9800	6267	1	1	0.19
aprenda	9800	6267	1	1	0.19
encuentre	9800	6267	1	1	0.19
metafísico	9800	6267	1	1	0.19
ineludiblemente	9800	6267	1	1	0.19
pasa	9800	6267	1	1	0.19
umbral	9800	6267	1	1	0.19
meditación	9800	6267	1	1	0.19
teoricista	9800	6267	1	1	0.19
verbalista	9800	6267	1	1	0.19
empezar	9800	6267	1	1	0.19
inconscientemente	9800	6267	1	1	0.19
propone	9800	6267	1	1	0.19
matthiew	9800	6267	1	1	0.19
ricard	9800	6267	1	1	0.19
biología	9800	6267	1	1	0.19
molecular	9800	6267	1	1	0.19
decimos	9800	6267	1	1	0.19
primeros	9800	6267	1	1	0.19
confusiones	9800	6267	1	1	0.19
psicológica	9800	6267	1	1	0.19
narcisista	9800	6267	1	1	0.19
alabanzas	9800	6267	1	1	0.19
contemplativo	9800	6267	1	1	0.19
profundo	9800	6267	1	1	0.19
criterio	9800	6267	1	1	0.19
aludes	9800	6267	1	1	0.19
hechos	9800	6267	1	1	0.19
trajo	9800	6267	1	1	0.19
bolivianos	9800	6267	1	1	0.19
debió	9800	6267	1	1	0.19
abandonar	9800	6267	1	1	0.19
lógico	9800	6267	1	1	0.19
olvidando	9800	6267	1	1	0.19
sentimientos	9800	6267	1	1	0.19
emoción	9800	6267	1	1	0.19
vainas	9800	6267	1	1	0.19
sinceramente	9800	6267	1	1	0.19
nombrarlos	9800	6267	1	1	0.19
inteligente	9800	6267	1	1	0.19
domarlos	9800	6267	1	1	0.19
refiero	9800	6267	1	1	0.19
curiosamente	9800	6267	1	1	0.19
sémita	9800	6267	1	1	0.19
hollywoodense	9800	6267	1	1	0.19
importarle	9800	6267	1	1	0.19
ligado	9800	6267	1	1	0.19
esposa	9800	6267	1	1	0.19
hijos	9800	6267	1	1	0.19
solvente	9800	6267	1	1	0.19
amargarse	9800	6267	1	1	0.19
lentes	9800	6267	1	1	0.19
ayudar	9800	6267	1	1	0.19
maestro	9800	6267	1	1	0.19
zen	9800	6267	1	1	0.19
thich	9800	6267	1	1	0.19
nhat	9800	6267	1	1	0.19
supongo	9800	6267	1	1	0.19
debes	9800	6267	1	1	0.19
trío	9800	6267	1	1	0.19
citas	9800	6267	1	1	0.19
mi	9800	6267	1	1	0.19
coach	9800	6267	1	1	0.19
i ek	9800	6267	1	1	0.19
sabemos	9800	6267	1	1	0.19
soñar	9800	6267	1	1	0.19
oportunistas	9800	6267	1	1	0.19
mantente	9800	6267	1	1	0.19
estúpido	9800	6267	1	1	0.19
verdaderos	9800	6267	1	1	0.19
maestros	9800	6267	1	1	0.19
categoría	9800	6267	1	1	0.19
esclavos	9800	6267	1	1	0.19
vives	9800	6267	1	1	0.19
encontrarás	9800	6267	1	1	0.19
subproducto	9800	6267	1	1	0.19
borja	9800	6267	1	1	0.19
vilaseca	9800	6267	1	1	0.19
vender	9800	6267	1	1	0.19
humo	9800	6267	1	1	0.19
cura	9800	6267	1	1	0.19
vuelvo	9800	6267	1	1	0.19
clásico	9800	6267	1	1	0.19
literaria	9800	6267	1	1	0.19
subjetividad	9800	6267	1	1	0.19
abierta	9800	6267	1	1	0.19
razonable	9800	6267	1	1	0.19
aproximarnos	9800	6267	1	1	0.19
considerablemente	9800	6267	1	1	0.19
